source,destination,booking_date,travel_date,price
bom,knu,2024-09-08,2024-11-21,6696
bom,knu,2024-09-08,2025-05-15,5641
bom,knu,2024-09-08,2025-04-16,5641
bom,knu,2024-09-08,2025-01-04,5339
bom,knu,2024-09-08,2024-09-22,5063
bom,knu,2024-09-08,2024-09-13,5666
bom,knu,2024-09-08,2025-01-22,6696
bom,knu,2024-09-08,2025-04-06,5641
bom,knu,2024-09-08,2025-04-14,5641
bom,knu,2024-09-08,2025-05-10,5641
bom,knu,2024-09-08,2025-03-18,5641
bom,knu,2024-09-08,2025-06-24,5641
bom,knu,2024-09-08,2025-06-13,5641
bom,knu,2024-09-08,2025-03-08,7148
bom,knu,2024-09-08,2024-09-15,5365
bom,knu,2024-09-08,2024-11-14,8805
bom,knu,2024-09-08,2024-10-12,8203
bom,knu,2024-09-08,2024-12-29,5339
bom,knu,2024-09-08,2025-05-23,5641
bom,knu,2024-09-08,2024-10-16,6243
bom,knu,2024-09-08,2024-09-10,5666
bom,knu,2024-09-08,2024-09-29,4762
bom,knu,2024-09-08,2024-12-02,5641
bom,knu,2024-09-08,2025-01-11,5641
bom,knu,2024-09-08,2024-12-15,6243
bom,knu,2024-09-08,2024-10-11,5641
bom,knu,2024-09-08,2024-11-28,6243
bom,knu,2024-09-08,2024-10-27,18600
bom,knu,2024-09-08,2025-03-20,5641
bom,knu,2024-09-08,2025-05-07,5641
bom,knu,2024-09-08,2025-06-25,5641
bom,knu,2024-09-08,2025-02-20,5641
bom,knu,2024-09-08,2024-12-22,8203
bom,knu,2024-09-08,2025-01-09,5339
bom,knu,2024-09-08,2024-12-03,18600
bom,knu,2024-09-08,2025-05-01,5641
bom,knu,2024-09-08,2025-05-12,5641
bom,knu,2024-09-08,2024-11-09,7600
bom,knu,2024-09-08,2025-06-02,5641
bom,knu,2024-09-08,2025-03-09,6696
bom,knu,2024-09-08,2025-03-25,5641
bom,knu,2024-09-08,2024-11-13,8805
bom,knu,2024-09-08,2024-10-09,5339
bom,knu,2024-09-08,2024-12-25,5942
bom,knu,2024-09-08,2024-12-28,5339
bom,knu,2024-09-08,2025-01-21,5641
bom,knu,2024-09-08,2025-05-13,5641
bom,knu,2024-09-08,2025-05-25,5641
bom,knu,2024-09-08,2025-01-30,5641
bom,knu,2024-09-08,2025-06-09,5641
bom,knu,2024-09-08,2025-05-22,5641
bom,knu,2024-09-08,2025-02-19,5641
bom,knu,2024-09-08,2024-11-30,5942
bom,knu,2024-09-08,2025-03-29,5641
bom,knu,2024-09-08,2024-09-18,5365
bom,knu,2024-09-08,2025-01-12,6696
bom,knu,2024-09-08,2025-06-28,5641
bom,knu,2024-09-08,2024-10-05,5339
bom,knu,2024-09-08,2025-01-23,5641
bom,knu,2024-09-08,2025-01-28,6696
bom,knu,2024-09-08,2024-10-15,5641
bom,knu,2024-09-08,2025-03-02,5641
bom,knu,2024-09-08,2024-12-01,6243
bom,knu,2024-09-08,2025-01-16,5641
bom,knu,2024-09-08,2025-04-25,5641
bom,knu,2024-09-08,2024-10-20,10312
bom,knu,2024-09-08,2024-10-19,8203
bom,knu,2024-09-08,2025-01-13,5942
bom,knu,2024-09-08,2024-10-26,18600
bom,knu,2024-09-08,2025-05-16,5641
