IXA, Agartala
AGX, Agatti
AGR, Agra
AMD, Ahmedabad
AJL, Aizawl
ATQ, Amritsar
IXU, Aurangabad
AYJ, Ayodhya
IXB, Bagdogra
BEK, Bareilly
IXG, Belagavi
BLR, Bengaluru
BHO, Bhopal
BBI, Bhubaneswar
IXC, Chandigarh
MAA, Chennai
CJB, Coimbatore
DBR, Darbhanga
DED, Dehradun
DEL, Delhi
DGH, Deoghar
DHM, Dharamshala
DIB, Dibrugarh
DMU, Dimapur
DIU, Diu
RDP, Durgapur
GAY, Gaya
GOI, Goa
GDB, Gondia
GOP, Gorakhpur
GAU, Guwahati
GWL, Gwalior
HSR, Hirasar
HBX, Hubli
HYD, Hyderabad
IMF, Imphal
IDR, Indore
HGI, Itanagar
JLR, Jabalpur
JGB, Jagdalpur
JAI, Jaipur
JSA, Jaisalmer
IXJ, Jammu
JRG, Jharsuguda
JDH, Jodhpur
JRH, Jorhat
CDP, Kadapa
CNN, Kannur
KNU, Kanpur
HJR, Khajuraho
COK, Kochi
KLH, Kolhapur
CCU, Kolkata
CCJ, Kozhikode
KJB, Kurnool
IXL, Leh
LKO, Lucknow
IXM, Madurai
IXE, Mangaluru
BOM, Mumbai
MYQ, Mysuru
NAG, Nagpur
ISK, Nashik
GOX, North Goa
PGH, Pantnagar
PAT, Patna
IXZ, Port Blair
IXD, Prayagraj
PNQ, Pune
RPR, Raipur
RJA, Rajahmundry
RAJ, Rajkot
IXR, Ranchi
SXV, Salem
SHL, Shillong
SAG, Shirdi
RQY, Shivamogga
IXS, Silchar
SXR, Srinagar
STV, Surat
TRV, Thiruvananthapuram
TRZ, Tiruchirappalli
TIR, Tirupati
TCR, Tuticorin
UDR, Udaipur
BDQ, Vadodara
VNS, Varanasi
VGA, Vijayawada
VTZ, Visakhapatnam
