source,destination,day,count
IXA,AGX,Mon,0
IXA,AGX,Tue,0
AGX,IXA,Sun,0
IXA,AGX,Wed,0
AGX,IXA,Mon,0
IXA,AGX,Thu,0
AGX,IXA,Tue,0
AGR,IXA,Sun,0
IXA,AGX,Fri,0
AGX,IXA,Wed,0
AGR,IXA,Mon,0
IXA,AGX,Sat,0
AGX,IXA,Thu,0
AGR,IXA,Tue,0
AGX,IXA,Fri,0
AGR,IXA,Wed,0
AMD,IXA,Sun,0
AGX,IXA,Sat,0
AMD,IXA,Mon,0
AGR,IXA,Thu,0
AGR,IXA,Fri,0
AJL,IXA,Sun,0
AMD,IXA,Tue,0
AMD,IXA,Wed,0
AJL,IXA,Mon,0
AGR,IXA,Sat,0
AMD,IXA,Thu,0
AJL,IXA,Tue,0
ATQ,IXA,Sun,0
AMD,IXA,Fri,0
AJL,IXA,Wed,0
ATQ,IXA,Mon,0
AMD,IXA,Sat,0
AJL,IXA,Thu,0
ATQ,IXA,Tue,0
AJL,IXA,Fri,0
IXU,IXA,Sun,0
ATQ,IXA,Wed,0
AJL,IXA,Sat,0
IXU,IXA,Mon,0
IXA,AGR,Sun,0
ATQ,IXA,Thu,0
IXA,AGR,Mon,0
IXU,IXA,Tue,0
ATQ,IXA,Fri,0
AYJ,IXA,Sun,0
IXA,AGR,Tue,0
IXU,IXA,Wed,0
ATQ,IXA,Sat,0
AGX,AGR,Sun,0
AYJ,IXA,Mon,0
IXA,AGR,Wed,0
IXU,IXA,Thu,0
AGX,AGR,Mon,0
AYJ,IXA,Tue,0
IXA,AGR,Thu,0
AGX,AGR,Tue,0
IXU,IXA,Fri,0
IXA,AGR,Fri,0
AYJ,IXA,Wed,0
AGR,AGX,Sun,0
AGX,AGR,Wed,0
IXA,AGR,Sat,0
IXU,IXA,Sat,0
AYJ,IXA,Thu,0
AGR,AGX,Mon,0
AGX,AGR,Thu,0
AYJ,IXA,Fri,0
AGR,AGX,Tue,0
AGX,AGR,Fri,0
AYJ,IXA,Sat,0
AMD,AGX,Sun,0
AGR,AGX,Wed,0
AGX,AGR,Sat,0
AMD,AGX,Mon,0
AGR,AGX,Thu,0
AMD,AGX,Tue,0
AGR,AGX,Fri,0
AMD,AGX,Wed,0
