0,1
CDP,0
GDB,0
KJB,0
JGB,6
BEK,7
JRH,7
AGR,10
SXV,10
GAY,14
HJR,14
JSA,14
MYQ,14
PGH,17
DGH,21
DIU,21
KNU,21
DMU,24
GWL,24
AGX,25
HGI,25
JRG,25
SHL,26
KLH,28
RQY,28
DHM,32
RDP,32
TCR,35
JLR,36
AJL,39
CNN,39
HBX,39
IXS,42
DBR,45
ISK,48
IXD,51
IXG,51
IXL,51
GOP,55
DIB,58
IXU,59
CCJ,61
AYJ,64
RJA,67
HSR,70
TRZ,77
BDQ,79
SAG,79
IXA,89
JDH,90
IXJ,104
STV,109
IXM,112
TIR,114
IXE,119
IXZ,122
DED,131
UDR,138
IMF,152
ATQ,157
VGA,161
IXR,171
BHO,177
RPR,178
TRV,184
VTZ,191
NAG,195
CJB,196
IXB,206
SXR,227
IXC,270
PAT,285
GOX,286
IDR,312
BBI,314
VNS,326
LKO,392
RAJ,415
JAI,416
GOI,418
COK,424
GAU,433
PNQ,637
AMD,779
MAA,1167
CCU,1280
HYD,1683
BLR,2253
BOM,2339
DEL,3377
